Genus,Genus_Nodulation_Status,Type,Legume?,Subfamily,Subanalysis
Dioclea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Diphyllarium,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Diphysa,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Diplotropis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dipogon,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dipteryx,No,n/a,Yes,Papilionoideae,Papilionoideae
Discolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Disynstemon,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dolichopsis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dolichos,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dorycnopsis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Droogmansia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dumasia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dunbaria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dupuya,No,n/a,Yes,Papilionoideae,Papilionoideae
Dussia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dysolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ebenus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Echinospartum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Eleiotis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Eminia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Endosamara,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Eremosparton,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Erinacea,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Eriosema,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Erophaca,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Errazurizia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Erythrina,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Euchilopsis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Euchlora,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Eutaxia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Eversmannia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Exostyles,No,n/a,Yes,Papilionoideae,Papilionoideae
Eysenhardtia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Fiebrigiella,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Fissicalyx,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Flemingia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Fordia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Galactia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Galega,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Gastrolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Genista,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Genistidium,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Geoffroea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Gliricidia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Glycine,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Glycyrrhiza,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Gompholobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Greuteria,Yes,Rhizobial,,,Papilionoideae
Grona,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Gueldenstaedtia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Guianodendron,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Hammatolobium,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Hanslia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Haplormosia ,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Harashuteria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Hardenbergia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Harpalyce,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Haymondia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Hebestigma,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Hedysarum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Hegnera,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Helicotropis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Herpyza,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Hesperolaburnum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Hesperothamnus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Hippocrepis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Hoita,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Holocalyx,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Hosackia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Hovea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Huangtcia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Humularia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Hylodesmum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Hymenolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Hypocalyptus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Indigastrum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Indigofera,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Inocarpus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Isotropis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Jacksonia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Kennedia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Kotschya,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Kummerowia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Kunstleria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Lablab,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Laburnum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Lackeya ,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ladeania,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Lamprolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Lathyrus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Latrobea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Lebeckia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Lecointea,No,n/a,Yes,Papilionoideae,Papilionoideae
Lennea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Lens,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Leobordea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Leptoderris,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Leptodesmia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Leptolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Leptosema,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Leptospron,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Lespedeza,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Lessertia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Limadendron,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Liparia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Listia ,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Lonchocarpus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Lotononis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Lotus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Luetzelburgia,No,n/a,Yes,Papilionoideae,Papilionoideae
Lupinus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Maackia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Machaerium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Macropsychanthus,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Macroptilium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Macrotyloma,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Maraniona,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Marina,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Mastersia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Mecopus,No,n/a,Yes,Papilionoideae,Papilionoideae
Medicago,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Melilotus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Melliniella,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Melolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Meristotropis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Microcharis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Mildbraediodendron,No,n/a,Yes,Papilionoideae,Papilionoideae
Millettia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Mirbelia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Monarthrocarpus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Monopteryx,No,n/a,Yes,Papilionoideae,Papilionoideae
Mucuna,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Muellera,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Muelleranthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Mundulea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Myrocarpus,No,n/a,Yes,Papilionoideae,Papilionoideae
Myrospermum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Myroxylon,No,n/a,Yes,Papilionoideae,Papilionoideae
Mysanthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Neonotonia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Neorautanenia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Nephrodesmus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Nesphostylis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Neustanthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Nissolia,No,n/a,Yes,Papilionoideae,Papilionoideae
Nogra,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Ohwia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Olneya,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Onobrychis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ononis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ophrestia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Orbexilum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ormocarpopsis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ormocarpum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ormosia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ornithopus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ostryocarpus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Otholobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Otoptera,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ototropis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ottleya,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ougeinia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Oxylobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Oxyrhynchus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Oxytropis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pachyrhizus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Paracalyx,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Paragoodia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Paramachaerium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Parochetus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pearsonia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pediomelum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Periandra,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pericopsis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Peteria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Petteria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Phaseolus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Philenoptera,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Phylacium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Phyllodium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Phyllolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Phyllota,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Phylloxylon,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Physostigma,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pickeringia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pictetia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Piptanthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Piscidia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pisum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Platycelyphium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Platycyamus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Platylobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Platymiscium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Platypodium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Platysepalum,No,n/a,Yes,Papilionoideae,Papilionoideae
Pleurolobus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Podalyria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Podocytisus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Podolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Podolotus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Poecilanthe,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Poiretia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Poissonia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Poitea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Polhillia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pongamiopsis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Priestleya,No,n/a,Yes,Papilionoideae,Papilionoideae
Pseudarthria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pseudeminia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pseudoeriosema,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pseudovigna,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Psophocarpus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Psoralea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Psorothamnus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pterocarpus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pterodon,No,n/a,Yes,Papilionoideae,Papilionoideae
Ptycholobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ptychosema,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Pueraria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pultenaea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pycnospora ,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Pyranthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Rafnia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ramirezella,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Requienia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Retama,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Rhodopis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Rhynchosia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Rhynchotropis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Riedeliella,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Robinia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Robynsiophyton,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Rothia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Rupertia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Sakoanala,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Salweenia,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Sarcodum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Schefflerodendron,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Scorpiurus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Securigera,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Sesbania,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Shuteria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Sigmoidotropis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Sinodolichos,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Smirnowia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Smithia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Soemmeringia,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Sohmaea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Sophora,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Spartium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Spathionema,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Spatholobus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Sphaerolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Sphaerophysa,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Sphenostylis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Sphinctospermum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Spirotropis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Staminodianthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Stauracanthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Steinbachiella,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Stirtonanthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Strongylodon,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Strophostyles,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Stylosanthes,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Styphnolobium,No,n/a,Yes,Papilionoideae,Papilionoideae
Sulla,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Sutherlandia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Swainsona,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Swartzia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Sweetia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Sylvichadsia,No,n/a,Yes,Papilionoideae,Papilionoideae
Tabaroa,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Tadehagi,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Taralea,No,n/a,Yes,Papilionoideae,Papilionoideae
Tateishia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Taverniera,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Templetonia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Tephrosia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Teramnus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Teyleria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Thermopsis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Tibetia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Tipuana,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Toxicopueraria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Tragacantha,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Trifidacanthus ,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Trifolium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Trigonella,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Tripodion,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Trischidium,No,n/a,Yes,Papilionoideae,Papilionoideae
Uleanthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ulex,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Uraria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Uribea,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Urodon,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Vandasina,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Vatairea,No,n/a,Yes,Papilionoideae,Papilionoideae
Vataireopsis,No,n/a,Yes,Papilionoideae,Papilionoideae
Vatovaea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Vavilovia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Vicia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Vigna,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Viminaria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Virgilia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Wajira,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Weberbauerella,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Wiborgia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Wiborgiella,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Wisteria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Xanthocercis,No,n/a,Yes,Papilionoideae,Papilionoideae
Xiphotheca,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Zollernia,No,n/a,Yes,Papilionoideae,Papilionoideae
Zornia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
